HM163	-0.0426405054094322	-0.0567596787419474	CC192	DZA061-11	Algeria	INRA-Montpellier	36.5	7.404	Algeria
HM164	0.0763812344697744	-0.20200424939919	CC192	DZA215-5	Algeria	INRA-Montpellier	34.916	1.527	Algeria
HM165	-0.0487765460174206	-0.0628340785594701	CC192	DZA231-1	Algeria	INRA-Montpellier	36.108	4.944	Algeria
HM166	-0.0690821585414011	-0.0333162561684052	CC192	DZA236-2	Algeria	INRA-Montpellier	36.014	6.567	Algeria
HM167	-0.0690997481418498	-0.0246517144793281	CC192	DZA242-A	Algeria	INRA-Montpellier	35.509	6.892	Algeria
HM168	0.11474283684126	-0.151418947791645	CC192	DZA323-3	Algeria	INRA-Montpellier	35.633	-0.874	Algeria
HM169	0.121757529530801	0.0391562267107642	CC192	ESP039-A	Spain	INRA-Montpellier	36.95	-4.122	Spain
HM170	0.111180023345585	0.0209117638870024	CC192	ESP042-B	Spain	INRA-Montpellier	36.577	-4.843	Spain
HM172	0.0988339479437662	0.0605735119383506	CC192	ESP048-E	Spain	INRA-Montpellier	36.429	-5.703	Spain
HM173	0.104860196693573	0.0640566386506054	CC192	ESP048-F	Spain	INRA-Montpellier	36.429	-5.703	Spain
HM175	0.12692307984341	0.0351797113265798	CC192	ESP098-B	Spain	INRA-Montpellier	37.104	-4.232	Spain
HM176	0.12740379618003	0.0321369422356646	CC192	ESP098-C	Spain	INRA-Montpellier	37.104	-4.232	Spain
HM177	0.121460146976753	0.0325725830657949	CC192	ESP100-G	Spain	INRA-Montpellier	37.06	-4.626	Spain
HM178	0.125266653201636	0.0382307596479442	CC192	ESP103-B	Spain	INRA-Montpellier	37.728	-4.854	Spain
HM179	0.117984863875884	0.030072922274873	CC192	ESP162-A	Spain	INRA-Montpellier	37.245	-4.315	Spain
HM180	0.127005102325688	0.0399202870838771	CC192	ESP163-C	Spain	INRA-Montpellier	36.989	-4.285	Spain
HM181	0.0953927001116536	0.0899197786266942	CC192	ESP175-D	Spain	INRA-Montpellier	37.284	-7.122	Spain
HM182	-0.0120124636748139	0.0215021435796653	CC192	F11013-A	France	INRA-Montpellier	43.139	2.893	France
HM183	-0.0394214100299348	-0.000463156813855254	CC192	F20015-8	France, Corsica	INRA-Montpellier	42.084	9.369	France, Corsica
HM184	-0.0284270345555379	-0.00928080517448885	CC192	F20058-B	France, Corsica	INRA-Montpellier	41.405	9.127	France, Corsica
HM185	-0.0349680867912497	-0.0119559764468581	CC192	F20081-A	France, Corsica	INRA-Montpellier	42.401	9.504	France, Corsica
HM186	-0.0575981347737693	0.00152550346346664	CC192	GRC024-H	Greece	INRA-Montpellier	37.723	21.543	Greece
HM187	-0.0572185245761144	-0.000975112027130944	CC192	GRC033-C	Greece	INRA-Montpellier	36.915	22.5	Greece
HM188	-0.0503320558921767	0.0156948822689231	CC192	GRC040-1	Greece	INRA-Montpellier	37.596	23.011	Greece
HM189	0.0975748215587938	0.0770508034009195	CC192	PRT177-C	Portugal	INRA-Montpellier	37.19	-8.081	Portugal
HM190	0.088807702763943	0.025893085805525	CC192	SA02806	Portugal	INRA-Montpellier	38.867	-7.283	Portugal
HM191	-0.0176569355157175	0.0281130935770928	CC192	SA03653	Portugal	INRA-Montpellier	38.733	-9.133	Portugal
HM192	-0.041912616079703	0.0225570110632904	CC192	SA07763	Tunisia	INRA-Montpellier	36.217	10.283	Tunisia
HM193	0.0975084050138439	0.0245969413451792	CC192	SA08638	Morocco	INRA-Montpellier	33.167	-5.633	Morocco
HM194	-0.0422426702672037	0.0241323601267069	CC192	SA09700	Tunisia	INRA-Montpellier	36.35	9.617	Tunisia
HM195	-0.0408371646694636	0.0238927862248567	CC192	SA09728	Tunisia	INRA-Montpellier	34.75	10.717	Tunisia
HM196	-0.048441486397576	0.00761783122952215	CC192	SA09970	Tunisia	INRA-Montpellier	35.083	8.667	Tunisia
HM197	-0.0157268672914641	0.00585291515602053	CC192	SA12455	Italy	INRA-Montpellier	39	8	Italy
HM198	-0.0568332565661516	-1.13113509821131e-05	CC192	SA18543	Tunisia	INRA-Montpellier	35.567	8.667	Tunisia
HM199	-0.0555049038162127	0.0229084711701435	CC192	SA19983	Cyprus	INRA-Montpellier	34.667	33.083	Cyprus
HM200	-0.0430149202494862	0.0292114748538159	CC192	SA19998	Cyprus	INRA-Montpellier	34.733	33.167	Cyprus
HM201	0.0909015510540063	0.0197684754489155	CC192	SA24576	Morocco	INRA-Montpellier	34.083	-5	Morocco
HM202	-0.00131581416866638	0.00449453043904487	CC192	SA25941	Italy	INRA-Montpellier	39	9	Italy
HM203	-0.0468404793397299	0.0241300496049904	CC192	SA27176	Greece	INRA-Montpellier	38.483	22.5	Greece
HM205	0.0680966076196813	0.0469695109361004	CC192	SA28375	Portugal	INRA-Montpellier	37.067	-8.8	Portugal
HM206	-0.0120217423847305	0.0173577888142864	CC192	Salse57A	France	INRA-Montpellier	42.82	2.945	France
HM207	-0.00515209597830253	0.00369865980250513	N/A	Caliph	N/A	N/A	N/A	N/A	N/A
HM208	-0.0493636204990765	0.0304418354445128	N/A	Paraggio	N/A	N/A	N/A	N/A	N/A
HM209	-0.0153471316156212	0.0285984121046276	N/A	Sephi	N/A	N/A	N/A	N/A	N/A
HM210	-0.0647981632662453	0.0229641297324129	Tunisian lines	TN1.1	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM211	-0.0260528911799161	0.022531943997443	Tunisian lines	TN1.17	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM212	-0.00599047036280304	0.00507998471651897	Tunisian lines	TN1.3	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM213	-0.029389837973974	0.010721398085004	Tunisian lines	TN7.11	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM214	-0.02512394665346	0.00969700695101307	Tunisian lines	TN7.13	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM215	-0.028842484550877	0.0111753576075182	Tunisian lines	TN7.17	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM217	-0.0304587671513794	0.0124218674565582	Tunisian lines	TN7.19	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM218	-0.0446303380529215	0.0069016555923596	Tunisian lines	TN7.2	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM219	-0.0153832252359174	0.00201565218236549	Tunisian lines	TN7.20	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM220	-0.00962266866610062	0.0033830955494212	Tunisian lines	TN7.22	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM221	-0.0257816767499555	0.0113681592024472	Tunisian lines	TN7.23	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM222	-0.0440573144129553	0.00987708738984931	Tunisian lines	TN7.4	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM223	-0.0342140785811674	0.0128704182587737	Tunisian lines	TN8.15	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM224	-0.0311386046821017	0.000889578830501957	Tunisian lines	TN8.21	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM225	-0.0590601652255639	0.0184200067308759	Tunisian lines	TN8.22	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM226	-0.0196633055701357	0.0163511090682311	Tunisian lines	TN8.23	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM227	-0.0326313564842757	0.0221987267634315	Tunisian lines	TN8.24	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM228	-0.0339180556666026	0.0174493816255043	Tunisian lines	TN8.25	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM229	-0.033234872783861	0.020594166582623	Tunisian lines	TN8.28	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM230	-0.0482487426089065	0.0140467733449036	Tunisian lines	TN8.4	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM231	-0.0312836565059472	0.0172776850192223	Tunisian lines	TN8.5	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM232	-0.0344045743189347	0.00540808640541001	Tunisian lines	TN9.12	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM233	-0.0308281742477923	-0.00369528064938912	Tunisian lines	TN9.15	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM234	-0.0174408640852181	0.00305173716997881	Tunisian lines	TN9.17	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM235	-0.0412259404326347	0.0125499713325798	Tunisian lines	TN9.20	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM236	-0.0229126410166134	0.00281673686674674	Tunisian lines	TN9.21	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM237	-0.0126397062507225	0.00149527435321637	Tunisian lines	TN9.24	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM238	-0.0264702215744996	0.00637802758500745	Tunisian lines	TN9.5	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM239	-0.0634328964870314	0.0209179943132016	Tunisian lines	TN1.5	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM240	-0.0312996220645769	0.0164623054109274	Tunisian lines	TN1.13	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM242	-0.0585814387102558	0.0219607470040186	Tunisian lines	TN1.16	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM243	-0.0656789229134791	0.00982690499089281	Tunisian lines	TN1.18	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM244	-0.0452793743158063	-0.00782410516039671	Tunisian lines	TN9.3	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM245	-0.0578157260805799	-0.022467562340298	Tunisian lines	TN9.4	Tunisia	Sergey Noujdine, USC	N/A	N/A	Tunisia
HM253	-0.0220817863554159	0.00702063792492956	M. truncatula	PI660496 SSD	France	USDA-ARS, Washington	N/A	N/A	France
HM256	0.0740956826725306	0.102762819026607	M. truncatula	PI442895 SSD	Australia	USDA-ARS, Washington	N/A	N/A	Australia
HM259	0.0977198714936609	0.0220012830536274	M. truncatula	PI577599 SSD	Greece	USDA-ARS, Washington	N/A	N/A	Greece
HM260	-0.0248981770974442	0.0140973247857769	M. truncatula	PI516934 SSD	Morocco	USDA-ARS, Washington	N/A	N/A	Morocco
HM262	0.0917537860281727	0.0161334390661546	M. truncatula	PI564941 SSD	Morocco	USDA-ARS, Washington	N/A	N/A	Morocco
HM266	0.00131410716853779	-0.0822635974699293	M. truncatula	PI660450 SSD	Algeria	USDA-ARS, Washington	N/A	N/A	Algeria
HM267	-0.0126227351354407	-0.0388010303009513	M. truncatula	PI660437 SSD	Algeria	USDA-ARS, Washington	N/A	N/A	Algeria
HM268	-0.0237832726890631	0.0139327368474528	M. truncatula	PI660438 SSD	Algeria	USDA-ARS, Washington	N/A	N/A	Algeria
