File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
id660.png,Full,1559,2748,3009.293202,0.913171,836.146177,0.336749,0.299342,1.317104,5109.810812,324.683046,3199.358166,4.065,3009.293202,0,0,1017.960106,0,0,3199.358166,0,0,324.683046,0,0
id661.png,Full,2638,3098,3319.077475,0.933392,1066.202169,0.409674,0.378641,2.105206,5277.354351,555.374241,4302.522883,2.424,3318.635103,0.442373,0,1368.588987,0.91091,0,4299.661176,2.861707,0,553.900797,1.473444,0
id662.png,Full,1578,2764,4373.058222,0.632052,1220.193796,0.326121,0.299342,1.566333,7837.925411,451.675644,4491.766411,6.307,4373.058222,0,0,1429.457878,0,0,4491.766411,0,0,451.675644,0,0
id669.png,Full,1655,3419,3154.808469,1.083742,1046.156958,0.461975,0.390294,2.652176,4520.708089,727.31549,4596.525865,3.056,3149.243246,5.565222,0,1450.146459,12.610612,0,4556.90846,39.617405,0,704.691821,22.623669,0
id670.png,Full,1555,1893,2379.875404,0.79542,930.754859,0.517762,0.473301,2.548804,3598.983242,640.005398,3898.743183,2.204,2376.644274,3.23113,0,1233.741691,7.254786,0,3875.9516,22.791583,0,627.145963,12.859435,0
id671.png,Full,1830,2368,2364.409229,1.001519,842.757275,0.496695,0.45001,2.912398,3333.032448,605.202103,3723.698167,1.777,2359.619029,4.7902,0,1173.534065,11.616045,0,3687.205285,36.492882,0,582.789093,22.41301,0
id672.png,Full,1927,4117,4300.784799,0.957267,1581.02148,0.493438,0.431717,2.658587,6376.765759,1078.988069,6705.428778,4.977,4291.882614,8.902185,0,2113.891276,20.126914,0,6642.198212,63.230565,0,1042.967713,36.020356,0
id673.png,Full,1098,1330,1755.216385,0.757741,679.552404,0.495301,0.455944,2.149433,2758.904217,415.03453,2745.212729,1.356,1753.901666,1.314719,0,871.073327,2.713099,0,2736.689279,8.523451,0,410.635437,4.399092,0
id674.png,Full,2143,2411,2772.213582,0.869702,1026.811118,0.47365,0.45001,2.023604,4307.716039,591.835435,4159.189843,4.035,2772.051512,0.16207,0,1323.479621,0.326106,0,4158.165351,1.024493,0,591.320078,0.515357,0
id675.png,Full,1751,2152,2731.603756,0.787816,1018.045903,0.475834,0.423333,2.236867,4371.911225,648.855139,4121.306885,3.409,2728.652305,2.95145,0,1305.501466,6.236079,0,4101.715664,19.591221,0,638.496174,10.358965,0
